,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,CL,DX-Y.NYB,TIP,USDJPY=X,^DJI,^FVX,^GSPC,^IXIC,^SOX,^TNX,^VIX,CL,DX-Y.NYB,TIP,USDJPY=X,^DJI,^FVX,^GSPC,^IXIC,^SOX,^TNX,^VIX,CL,DX-Y.NYB,TIP,USDJPY=X,^DJI,^FVX,^GSPC,^IXIC,^SOX,^TNX,^VIX,CL,DX-Y.NYB,TIP,USDJPY=X,^DJI,^FVX,^GSPC,^IXIC,^SOX,^TNX,^VIX,CL,DX-Y.NYB,TIP,USDJPY=X,^DJI,^FVX,^GSPC,^IXIC,^SOX,^TNX,^VIX,CL,DX-Y.NYB,TIP,USDJPY=X,^DJI,^FVX,^GSPC,^IXIC,^SOX,^TNX,^VIX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,18.877613067626953,100.80000305175781,,105.33000183105469,11522.5595703125,6.396999835968018,1441.469970703125,3882.6201171875,690.4159545898438,6.504000186920166,21.719999313354492,30.96875,100.80000305175781,,105.33000183105469,11522.5595703125,6.396999835968018,1441.469970703125,3882.6201171875,690.75,6.504000186920166,21.719999313354492,32.0,101.83000183105469,,105.87999725341797,11528.1396484375,6.489999771118164,1478.0,4192.18994140625,713.969970703125,6.603000164031982,29.0,28.875,99.70999908447266,,101.30999755859375,10938.669921875,6.388000011444092,1377.6800537109375,3711.090087890625,662.4400024414062,6.485000133514404,21.719999313354492,32.0,101.66999816894531,,102.18000030517578,11501.849609375,6.410999774932861,1469.25,4186.18994140625,704.5599975585938,6.498000144958496,24.360000610351562,19335000.0,0.0,,0.0,912810000.0,0.0,5343800000.0,7990830000.0,0.0,0.0,0.0
2000-01-08,19.29668426513672,101.72000122070312,,105.87999725341797,11722.98046875,6.568999767303467,1465.1500244140625,4064.27001953125,809.4783325195312,6.673999786376953,19.65999984741211,31.65625,101.72000122070312,,105.87999725341797,11722.98046875,6.568999767303467,1465.1500244140625,4064.27001953125,809.8699951171875,6.673999786376953,19.65999984741211,33.375,101.97000122070312,,107.30999755859375,11750.2802734375,6.614999771118164,1473.0,4091.949951171875,817.3200073242188,6.704999923706055,23.489999771118164,30.875,100.23999786376953,,104.27999877929688,11502.7001953125,6.443999767303467,1427.0799560546875,3834.530029296875,690.75,6.535999774932861,19.510000228881836,31.75,100.69999694824219,,105.3499984741211,11532.48046875,6.443999767303467,1441.469970703125,4002.22998046875,690.75,6.539999961853027,21.889999389648438,16571800.0,0.0,,0.0,981280000.0,0.0,5169700000.0,8045670000.0,0.0,0.0,0.0
2000-01-15,18.68711280822754,101.76000213623047,,104.72000122070312,11251.7099609375,6.650000095367432,1441.3599853515625,4235.39990234375,803.7611083984375,6.781000137329102,20.81999969482422,30.65625,101.76000213623047,,104.72000122070312,11251.7099609375,6.650000095367432,1441.3599853515625,4235.39990234375,804.1500244140625,6.781000137329102,20.81999969482422,31.875,102.11000061035156,,107.4000015258789,11720.1201171875,6.697000026702881,1465.7099609375,4238.0,833.52001953125,6.822999954223633,22.600000381469727,30.1875,101.12000274658203,,104.25,11232.48046875,6.585999965667725,1438.5400390625,4053.2099609375,793.2899780273438,6.702000141143799,20.5,31.53125,101.80999755859375,,105.87000274658203,11719.1904296875,6.5929999351501465,1465.1500244140625,4059.64990234375,809.760009765625,6.705999851226807,21.389999389648438,12096400.0,0.0,,0.0,790380000.0,0.0,4455000000.0,7012420000.0,0.0,0.0,0.0
2000-01-22,18.134695053100586,104.4800033569336,,107.05999755859375,10738.8701171875,6.659999847412109,1360.1600341796875,3887.070068359375,748.6477661132812,6.6479997634887695,26.139999389648438,29.75,104.4800033569336,,107.05999755859375,10738.8701171875,6.659999847412109,1360.1600341796875,3887.070068359375,749.010009765625,6.6479997634887695,26.139999389648438,31.5,104.73999786376953,,107.25,11366.5,6.7789998054504395,1454.0899658203125,4303.14990234375,828.5700073242188,6.796999931335449,26.540000915527344,29.25,101.83999633789062,,104.0999984741211,10735.76953125,6.548999786376953,1356.199951171875,3856.22998046875,742.719970703125,6.410999774932861,21.43000030517578,31.375,102.2300033569336,,104.72000122070312,11251.9404296875,6.626999855041504,1441.3599853515625,4290.3798828125,804.1500244140625,6.757999897003174,21.43000030517578,11535400.0,0.0,,0.0,978180000.0,0.0,5532100000.0,8864510000.0,0.0,0.0,0.0
2000-01-29,17.188434600830078,104.29000091552734,,107.18000030517578,10963.7998046875,6.631999969482422,1424.3699951171875,4244.14013671875,867.6002197265625,6.517000198364258,21.540000915527344,28.125,104.29000091552734,,107.18000030517578,10963.7998046875,6.631999969482422,1424.3699951171875,4244.14013671875,868.02001953125,6.517000198364258,21.540000915527344,30.875,105.36000061035156,,109.04000091552734,11118.9296875,6.73199987411499,1435.9100341796875,4294.83984375,880.4299926757812,6.709000110626221,27.43000030517578,27.5,103.41999816894531,,106.54000091552734,10701.6396484375,6.372000217437744,1350.1400146484375,3748.030029296875,738.8200073242188,6.326000213623047,20.690000534057617,29.375,104.44999694824219,,107.05999755859375,10735.76953125,6.73199987411499,1360.1600341796875,3873.840087890625,749.2100219726562,6.709000110626221,26.780000686645508,20279400.0,0.0,,0.0,884380000.0,0.0,5205000000.0,7907530000.0,0.0,0.0,0.0
2000-02-05,17.07384490966797,104.19000244140625,,108.80000305175781,10425.2099609375,6.736999988555908,1387.1199951171875,4395.4501953125,911.7488403320312,6.620999813079834,24.420000076293945,27.9375,104.19000244140625,,108.80000305175781,10425.2099609375,6.736999988555908,1387.1199951171875,4395.4501953125,912.1900024414062,6.620999813079834,24.420000076293945,29.875,104.91000366210938,,109.75,11023.0595703125,6.790999889373779,1444.550048828125,4489.7900390625,943.5499877929688,6.683000087738037,24.799999237060547,26.78125,103.36000061035156,,107.0,10356.9599609375,6.671000003814697,1378.8900146484375,4244.740234375,866.7899780273438,6.552000045776367,21.170000076293945,28.125,104.30000305175781,,107.18000030517578,10965.9697265625,6.686999797821045,1424.3699951171875,4274.02978515625,868.02001953125,6.580999851226807,22.969999313354492,21542800.0,0.0,,0.0,833030000.0,0.0,5100800000.0,8924490000.0,0.0,0.0,0.0
2000-02-12,16.21442413330078,104.62999725341797,,110.8499984741211,10219.51953125,6.677000045776367,1346.0899658203125,4411.740234375,935.4873657226562,6.482999801635742,26.0,26.53125,104.62999725341797,,110.8499984741211,10219.51953125,6.677000045776367,1346.0899658203125,4411.740234375,935.9400024414062,6.482999801635742,26.0,28.375,105.08000183105469,,111.2300033569336,10763.0703125,6.770999908447266,1407.719970703125,4564.4501953125,981.0599975585938,6.617000102996826,26.3700008392334,26.0,103.66999816894531,,107.97000122070312,10199.98046875,6.626999855041504,1345.3199462890625,4291.10009765625,901.780029296875,6.473999977111816,22.6299991607666,27.96875,104.19999694824219,,108.80999755859375,10431.650390625,6.7220001220703125,1387.1199951171875,4434.3798828125,912.1900024414062,6.611999988555908,24.670000076293945,18209000.0,0.0,,0.0,918600000.0,0.0,5115300000.0,8998760000.0,0.0,0.0,0.0
2000-02-19,14.743867874145508,105.26000213623047,,110.1500015258789,9862.1201171875,6.480999946594238,1333.3599853515625,4590.5,1031.5208740234375,6.341000080108643,25.200000762939453,24.125,105.26000213623047,,110.1500015258789,9862.1201171875,6.480999946594238,1333.3599853515625,4590.5,1032.02001953125,6.341000080108643,25.200000762939453,26.96875,105.5,,111.7300033569336,10338.349609375,6.6539998054504395,1370.1099853515625,4662.93017578125,1075.18994140625,6.48199987411499,28.1200008392334,23.9375,102.91999816894531,,110.0,9836.0595703125,6.480999946594238,1329.1500244140625,4291.009765625,919.25,6.323999881744385,23.559999465942383,26.53125,104.38999938964844,,110.8499984741211,10219.830078125,6.645999908447266,1346.0899658203125,4432.830078125,935.9400024414062,6.440000057220459,25.90999984741211,17058400.0,0.0,,0.0,812400000.0,0.0,4253900000.0,7434640000.0,0.0,0.0,0.0
